"ISO.3.Country.Code"	"LOCODE.Code"	"Description"	"Coordinates"	"lat"	"lon"	"range"
"68"	"DEU"	"DERSK"	"Rostock"	"5409N 01212E"	54.09333333	12.12333333	3
"69"	"DEU"	"DERZD"	"Ribnitz-Damgarten"	"5429N 01244E"	54.29333333	12.44	3
"70"	"DEU"	"DESAS"	"Sassnitz"	"5451N 01364E"	54.51166667	13.64333333	3
"71"	"DEU"	"DESH2"	"Schaprode"	"5450N 01317E"	54.5	13.16666667	3
"72"	"DEU"	"DESLS"	"Schleswig"	"5452N 00957E"	54.51666667	9.566666667	3
"73"	"DEU"	"DESTD"	"Strande"	"5444N 01017E"	54.43666667	10.17166667	3
"74"	"DEU"	"DESTL"	"Stralsund"	"5432N 01310E"	54.31833333	13.09833333	3
"75"	"DEU"	"DETRV"	"Travemünde"	"5496N 01086E"	54.96333333	10.86333333	3
"76"	"DEU"	"DEUCK"	"Ueckermünde"	"5375N 01407E"	53.75333333	14.07333333	3
"77"	"DEU"	"DEUET"	"Uetersen"	"5368N 00967E"	53.67833333	9.67	3
"78"	"DEU"	"DEVAR"	"Varel"	"5341N 00818E"	53.41	8.183333333	3
"79"	"DEU"	"DEWAR"	"Warnemünde"	"5355N 00984E"	53.54833333	9.838333333	3
"80"	"DEU"	"DEWED"	"Wedel"	"5357N 00968E"	53.57166667	9.678333333	3
"81"	"DEU"	"DEWEW"	"Wewelsfleth"	"5384N 00940E"	53.84333333	9.405	3
"82"	"DEU"	"DEWIK"	"Wiek"	"5462N 01329E"	54.61833333	13.28666667	3
"83"	"DEU"	"DEWIS"	"Wismar"	"5390N 01145E"	53.89666667	11.45333333	3
"84"	"DEU"	"DEWOL"	"Wolgast"	"5405N 01377E"	54.05	13.76666667	3
"85"	"DEU"	"DEWYK"	"Wyk auf Föhr"	"5469N 00858E"	54.69333333	8.575	3
"86"	"DEU"	"DEZIN"	"Zinnowitz"	"5407N 01397E"	54.06666667	13.96666667	3
"87"	"DEU"	"DEZIS"	"Zingst"	"5443N 01268E"	54.43333333	12.68333333	3
"88"	"DNK"	"DKAAB"	"Aabenraa"	"5504N 00942E"	55.0449	9.4213	3
"89"	"DNK"	"DKAAL"	"Aalborg"	"5705N 00992E"	57.0493	9.9163	3
"90"	"DNK"	"DKAAR"	"Århus"	"5615N 01020E"	56.153	10.2045	3
"91"	"DNK"	"DKAGE"	"Allinge"	"5527N 01480E"	55.2744	14.7999	3
"92"	"DNK"	"DKAGH"	"Agger Havn"	"5678N 00825E"	56.778	8.2547	3
"93"	"DNK"	"DKALS"	"Ålsgårde"	"5608N 01254E"	56.075	12.5407	3
"94"	"DNK"	"DKASA"	"Asaa"	"5715N 01040E"	57.1482	10.4039	3
"95"	"DNK"	"DKASS"	"Asnæs"	"5581N 01150E"	55.8112	11.499	3
"96"	"DNK"	"DKBBG"	"Bøvlingbjerg"	"5644N 00820E"	56.4361	8.2028	3
"97"	"DNK"	"DKBGZ"	"Bogense"	"5556N 01009E"	55.5638	10.0943	3
"98"	"DNK"	"DKBKH"	"Blokhus"	"5725N 00959E"	57.251	9.5917	3
"99"	"DNK"	"DKBOS"	"Bøjden"	"5510N 01011E"	55.1049	10.1064	3
"100"	"DNK"	"DKBRA"	"Brande"	"5680N 00903E"	56.7989	9.0288	3
"101"	"DNK"	"DKBRR"	"Borre"	"5500N 01244E"	54.9952	12.4392	3
"102"	"DNK"	"DKCPH"	"København"	"5568N 01257E"	55.6763	12.5693	3
"103"	"DNK"	"DKDKD"	"Dokkedal"	"5691N 01025E"	56.9054	10.2533	3
"104"	"DNK"	"DKEBJ"	"Esbjerg"	"5547N 00842E"	55.4715	8.424	3
"105"	"DNK"	"DKEJS"	"Ejstrup"	"5710N 00925E"	57.1017	9.2513	3
"106"	"DNK"	"DKEND"	"Egernsund"	"5490N 00961E"	54.905	9.6052	3
"107"	"DNK"	"DKERR"	"Errindlev"	"5467N 01150E"	54.6684	11.4964	3
"108"	"DNK"	"DKESP"	"Espergærde"	"5599N 01256E"	55.9929	12.56	3
"109"	"DNK"	"DKFDS"	"Frederikssund"	"5584N 01207E"	55.8371	12.0662	3
"110"	"DNK"	"DKFYH"	"Fynshav"	"5499N 00998E"	54.9861	9.9789	3
"111"	"DNK"	"DKGDB"	"Guldborg"	"5487N 01174E"	54.8682	11.7406	3
"112"	"DNK"	"DKGDM"	"Gudhjem"	"5521N 01497E"	55.2067	14.9731	3
"113"	"DNK"	"DKGLE"	"Gilleleje"	"5612N 01231E"	56.1234	12.3087	3
"114"	"DNK"	"DKGRE"	"Grenaa"	"5642N 01093E"	56.416	10.9266	3
"115"	"DNK"	"DKHAN"	"Hanstholm"	"5712N 00861E"	57.116	8.6066	3
"116"	"DNK"	"DKHBA"	"Humlebæk"	"5596N 01253E"	55.9615	12.5339	3
"117"	"DNK"	"DKHEM"	"Hemmet"	"5585N 00837E"	55.8504	8.3721	3
"118"	"DNK"	"DKHEN"	"Henne"	"5574N 00818E"	55.7382	8.1831	3
"119"	"DNK"	"DKHJE"	"Højer"	"5497N 00870E"	54.9654	8.695	3
"120"	"DNK"	"DKHON"	"Hornbæk"	"5609N 01246E"	56.09	12.4557	3
"121"	"DNK"	"DKHSU"	"Hadsund"	"5672N 01012E"	56.7151	10.1159	3
"122"	"DNK"	"DKHUN"	"Hundested"	"5596N 01185E"	55.9585	11.8531	3
"123"	"DNK"	"DKHVS"	"Hvide Sande"	"5600N 00813E"	56.0022	8.1283	3
"124"	"DNK"	"DKJGP"	"Jægerspris"	"5586N 01199E"	55.8552	11.9854	3
"125"	"DNK"	"DKJYL"	"Jyllinge"	"5575N 01211E"	55.751	12.1099	3
"126"	"DNK"	"DKKAR"	"Karlslunde"	"5557N 01223E"	55.5702	12.2294	3
"127"	"DNK"	"DKKAV"	"Kalvehave"	"5500N 01216E"	54.9966	12.1614	3
"128"	"DNK"	"DKKBG"	"Klintebjerg"	"5548N 01045E"	55.47818196	10.45223899	3
"129"	"DNK"	"DKKBK"	"Karrebæksminde"	"5518N 01165E"	55.1779	11.6464	3
"130"	"DNK"	"DKKNB"	"Knebel"	"5621N 01049E"	56.2133	10.4868	3
"131"	"DNK"	"DKKOL"	"Kolding"	"5549N 00947E"	55.4864	9.4734	3
"132"	"DNK"	"DKLIS"	"Liseleje"	"5601N 01203E"	56.0126	12.0257	3
"133"	"DNK"	"DKLKK"	"Lokken"	"5737N 00972E"	57.3704	9.7159	3
"134"	"DNK"	"DKLUN"	"Lundeborg"	"5514N 01078E"	55.1396	10.7827	3
"135"	"DNK"	"DKMNK"	"Munkebo"	"5546N 01056E"	55.4595	10.5595	3
"136"	"DNK"	"DKMRR"	"Mariager"	"5665N 00998E"	56.6486	9.9758	3
"137"	"DNK"	"DKNIB"	"Nibe"	"5698N 00964E"	56.9824	9.6393	3
"138"	"DNK"	"DKNIV"	"Niva"	"5594N 01249E"	55.9371	12.4866	3
"139"	"DNK"	"DKNVD"	"Næstved"	"5523N 01175E"	55.2315	11.7543	3
"140"	"DNK"	"DKNYF"	"Nykøbing Falster"	"5477N 01187E"	54.7693	11.8679	3
"141"	"DNK"	"DKNYM"	"Nykøbing Mors"	"5679N 00886E"	56.7945	8.8631	3
"142"	"DNK"	"DKNYS"	"Nykobing Sjælland"	"5592N 01166E"	55.9223	11.6644	3
"143"	"DNK"	"DKODE"	"Odense"	"5540N 01039E"	55.3961	10.3909	3
"144"	"DNK"	"DKPRS"	"Præsto"	"5512N 01204E"	55.1224	12.0435	3
"145"	"DNK"	"DKRAN"	"Randers"	"5646N 01004E"	56.4594	10.0358	3
"146"	"DNK"	"DKREY"	"Ry"	"5609N 00976E"	56.0919	9.7593	3
"147"	"DNK"	"DKRIB"	"Ribe"	"5533N 00877E"	55.3297	8.7656	3
"148"	"DNK"	"DKRKE"	"Roskilde"	"5564N 01209E"	55.6405	12.0909	3
"149"	"DNK"	"DKRKG"	"Ringkøbing"	"5609N 00825E"	56.0878	8.2508	3
"150"	"DNK"	"DKROD"	"Rødbyhavn"	"5466N 01136E"	54.663	11.3586	3
"151"	"DNK"	"DKRUG"	"Rungsted"	"5588N 01253E"	55.8842	12.5327	3
"152"	"DNK"	"DKSAE"	"Sæby"	"5733N 01052E"	57.3342	10.5197	3
"153"	"DNK"	"DKSKJ"	"Skjern"	"5595N 00849E"	55.9486	8.493	3
"154"	"DNK"	"DKSKY"	"Skibby"	"5575N 01196E"	55.7503	11.9594	3
"155"	"DNK"	"DKSVA"	"Svaneke"	"5514N 01514E"	55.1364	15.1405	3
"156"	"DNK"	"DKSVG"	"Sandvig"	"5529N 01478E"	55.2872	14.7791	3
"157"	"DNK"	"DKSVN"	"Svenstrup"	"5537N 01117E"	55.3656	11.1718	3
"158"	"DNK"	"DKTHO"	"Thurø"	"5505N 01067E"	55.0481	10.6745	3
"159"	"DNK"	"DKTMD"	"Thorsminde"	"5637N 00812E"	56.36756285	8.120493812	3
"160"	"DNK"	"DKVBK"	"Vedbæk"	"5586N 01256E"	55.8573	12.5641	3
"161"	"DNK"	"DKVIB"	"Viborg"	"5626N 00925E"	56.259	9.2463	3
"162"	"FRA"	"FRADB"	"Andernos-les-Bains"	"4474N 00110W"	44.74288	-1.1	3
"163"	"FRA"	"FRADN"	"Arradon"	"4763N 00283W"	47.633333	-2.833333	3
"164"	"FRA"	"FRAER"	"Ars-en-Ré"	"4621N 00152W"	46.208333	-1.516667	3
"165"	"FRA"	"FRAGD"	"Agde"	"4332N 00347E"	43.316667	3.466667	3
"166"	"FRA"	"FRAIS"	"Cassis"	"4322N 00553E"	43.216667	5.533333	3
"167"	"FRA"	"FRAMA"	"Saint-Chamas"	"4355N 00503E"	43.55	5.033333	3
"168"	"FRA"	"FRAOV"	"Agon-Coutainville"	"4904N 00158W"	49.041667	-1.575	3
"169"	"FRA"	"FRAQU"	"Asques"	"4495N 00042W"	44.95	-0.416667	3
"170"	"FRA"	"FRAS"	"L Aiguillon-sur-Mer"	"4633N 00130W"	46.333333	-1.3	3
"171"	"FRA"	"FRAVR"	"Avranches"	"4868N 00137W"	48.683333	-1.366667	3
"172"	"FRA"	"FRBES"	"Brest"	"4840N 00448W"	48.4	-4.483333	3
"173"	"FRA"	"FRBGG"	"Brignogan-Plage"	"4867N 00432W"	48.666667	-4.316667	3
"174"	"FRA"	"FRBOD"	"Bordeaux"	"4483N 00057W"	44.833333	-0.566667	3
"175"	"FRA"	"FRBSG"	"Bourg-sur-Gironde"	"4503N 00055W"	45.03333333	-0.55	3
"176"	"FRA"	"FRBVM"	"Blainville-sur-Mer"	"4907N 00158W"	49.066667	-1.583333	3
"177"	"FRA"	"FRCAY"	"Cayeux-sur-Mer"	"5018N 00148E"	50.183333	1.483333	3
"178"	"FRA"	"FRCBT"	"Capbreton"	"4363N 00143W"	43.633333	-1.433333	3
"179"	"FRA"	"FRCFR"	"Caen"	"4918N 00035W"	49.183333	-0.35	3
"180"	"FRA"	"FRCJH"	"Charron"	"4628N 00110W"	46.283333	-1.1	3
