Survey;Year;Semester;Quarter;id;ShootLon;ShootLat;Species;nb_indiv.0;nb_indiv.1;nb_indiv.2;nb_indiv.3;nb_indiv.4;nb_indiv.5;nb_indiv.6;nb_indiv.7;nb_indiv.8;nb_indiv.9;nb_indiv.10;nb_indiv.11;nb_indiv.12;nb_indiv.13;Stock;x;y;ICESareas;StockId
BITS;2013;1;1;2564;18.79;55.8667;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;18.79;55.8667;26;12
BITS;2013;1;1;2754;18.6517;55.7317;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;18.6517;55.7317;26;12
BITS;2013;1;1;590;19.4033;54.9483;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;19.4033;54.9483;26;12
BITS;2013;1;1;757;19.315;54.9783;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;19.315;54.9783;26;12
BITS;2013;1;1;588;16.0717;54.4433;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;16.0717;54.4433;25;12
BITS;2013;1;1;756;15.9417;54.755;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;15.9417;54.755;25;12
BITS;2013;1;1;803;16.0267;54.8167;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;16.0267;54.8167;25;12
BITS;2013;1;1;861;16.04;54.8367;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;16.04;54.8367;25;12
BITS;2013;1;1;1228;16.9317;55.0633;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;16.9317;55.0633;25;12
BITS;2013;1;1;1553;19.295;54.385;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;19.295;54.385;26;12
BITS;2013;1;1;2306;19.05;54.925;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;19.05;54.925;26;12
BITS;2013;1;1;217;20.5867;57.175;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;20.5867;57.175;28-1;12
BITS;2013;1;1;280;20.675;57.21;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;20.675;57.21;28-1;12
BITS;2013;1;1;215;17.8867;57.34;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;17.8867;57.34;27;12
BITS;2013;1;1;278;17.7367;57.4603;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;17.7367;57.4603;27;12
BITS;2013;1;1;341;18.12;57.7667;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;18.12;57.7667;27;12
BITS;2013;1;1;1229;18.6733;56.3183;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;18.6733;56.3183;26;12
BITS;2013;1;1;1390;18.493;56.3965;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;18.493;56.3965;26;12
BITS;2013;1;1;2637;20.3866;55.79;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;20.3866;55.79;26;12
BITS;2013;1;1;985;11.276;55.898;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.3a22;11.276;55.898;22;11
BITS;2013;1;1;1495;10.8148;55.0987;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.3a22;10.8148;55.0987;22;11
BITS;2013;1;1;95;14.2145;54.4267;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.3a22;14.2145;54.4267;24;11
BITS;2013;1;1;155;14.7482;54.4868;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.3a22;14.7482;54.4868;24;11
BITS;2013;1;1;212;14.9055;54.4532;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.3a22;14.9055;54.4532;24;11
BITS;2013;1;1;755;14.0985;54.6837;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.3a22;14.0985;54.6837;24;11
BITS;2013;1;1;923;14.3583;54.534;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.3a22;14.3583;54.534;24;11
BITS;2013;1;1;986;14.3397;54.5125;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.3a22;14.3397;54.5125;24;11
BITS;2013;1;1;1442;14.1937;54.6322;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.3a22;14.1937;54.6322;24;11
BITS;2013;1;1;1712;14.0878;55.268;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.3a22;14.0878;55.268;24;11
BITS;2013;1;1;2213;13.0182;54.8202;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.3a22;13.0182;54.8202;24;11
BITS;2013;1;1;2258;12.9598;54.6933;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.3a22;12.9598;54.6933;24;11
BITS;2013;1;1;2470;12.9722;55.0938;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.3a22;12.9722;55.0938;24;11
BITS;2013;2;4;4217;20.7667;57.7033;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;20.7667;57.7033;28-1;12
BITS;2013;2;4;2886;20.5867;57.175;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;20.5867;57.175;28-1;12
BITS;2013;2;4;4218;20.97;57.98;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;20.97;57.98;28-1;12
BITS;2013;2;4;2818;15.3606;55.3288;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;15.3606;55.3288;25;12
BITS;2013;2;4;4568;15.2612;55.3726;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;15.2612;55.3726;25;12
BITS;2013;2;4;4628;15.1438;55.4538;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;15.1438;55.4538;25;12
BITS;2013;2;4;2991;15.0651;55.5783;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;15.0651;55.5783;25;12
BITS;2013;2;4;3348;16.0831;55.136;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;16.0831;55.136;25;12
BITS;2013;2;4;3645;16.0557;55.2673;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;16.0557;55.2673;25;12
BITS;2013;2;4;3690;15.9224;55.2199;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;15.9224;55.2199;25;12
BITS;2013;2;4;3768;15.9183;55.432;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;15.9183;55.432;25;12
BITS;2013;2;4;3804;16.1566;55.4934;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;16.1566;55.4934;25;12
BITS;2013;2;4;4044;18.5931;56.3881;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;18.5931;56.3881;26;12
BITS;2013;2;4;4071;18.64;56.4077;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;18.64;56.4077;26;12
BITS;2013;2;4;4098;18.67;56.4543;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;18.67;56.4543;26;12
BITS;2013;2;4;4152;18.586;55.921;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;18.586;55.921;26;12
BITS;2013;2;4;4179;18.329;56.1593;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;18.329;56.1593;26;12
BITS;2013;2;4;4332;14.9343;55.3151;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;14.9343;55.3151;25;12
BITS;2013;2;4;4418;15.3725;55.3475;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;15.3725;55.3475;25;12
BITS;2013;2;4;3466;17.9167;57.05;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;17.9167;57.05;27;12
BITS;2013;2;4;3511;17.8733;57.0417;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;17.8733;57.0417;27;12
BITS;2013;2;4;3556;17.285;57.1;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;17.285;57.1;27;12
BITS;2013;2;4;3601;17.175;56.9417;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;17.175;56.9417;27;12
BITS;2013;2;4;3646;16.9167;56.5417;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;16.9167;56.5417;27;12
BITS;2013;2;4;3691;16.96;56.475;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.2532;16.96;56.475;25;12
BITS;2013;2;4;2816;11.7422;54.3;HER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HER.3a22;11.7422;54.3;22;11
