"harbour"	"lon"	"lat"	"range"
"Fagelsundet"	"Fagelsundet"	17.935833	60.601667	3
"Fagerviken"	"Fagerviken"	17.743	60.5435	3
"Fairisle"	"Fairisle"	-1.6	59.53305556	3
"FAKSE LADEPLADS"	"FAKSE LADEPLADS"	12.1675	55.2193	3
"FALCONARA MARITTIMA"	"FALCONARA MARITTIMA"	13.4	38.616667	3
"FALEN"	"FALEN"	8.2862	55.841	3
"Falkenberg"	"Falkenberg"	12.5	56.916667	3
"FALSHOEFT"	"FALSHOEFT"	9.967333333	54.75133333	3
"FALSLED"	"FALSLED"	10.1534	55.1477	3
"Falsterbokanal"	"Falsterbokanal"	12.95	55.4	3
"Faludden"	"Faludden"	18.396	56.9935	3
"Famagusta"	"Famagusta"	33.95	35.1	3
"Fanad"	"Fanad"	-7.63055563	55.27861023	3
"FANAD"	"FANAD"	-7.617927712	55.27626488	3
"FANARI"	"FANARI"	25.368	40.933	3
"Fango"	"Fango"	16.927167	58.191167	3
"FANO"	"FANO"	13.016667	43.833333	3
"Farjestaden"	"Farjestaden"	16.466667	56.65	3
"Faro"	"Faro"	19.129167	57.915833	3
"Farosund"	"Farosund"	19.066667	57.866667	3
"Faversham"	"Faversham"	0.899999976	51.33333206	3
"FAVERSHAM"	"FAVERSHAM"	0.9	51.31666667	3
"FAVIGNANA"	"FAVIGNANA"	12.333333	37.933333	3
"Fécamp"	"Fécamp"	0.366667	49.75	3
"FEDDERWARDERSIEL"	"FEDDERWARDERSIEL"	8.350833333	53.6	3
"Fejan"	"Fejan"	19.1635	59.739167	3
"FEJØ"	"FEJØ"	11.3772	54.938	3
"Felixstowe"	"Felixstowe"	1.333333254	51.95000076	3
"FELIXSTOWE"	"FELIXSTOWE"	1.35	51.96666667	3
"FEMØ"	"FEMØ"	11.4159	54.942	3
"Fenit"	"Fenit"	-9.8625002	52.271111	3
"FENIT"	"FENIT"	-9.858939277	52.28069704	3
"Fermanville"	"Fermanville"	-1.45	49.683333	3
"Ferrol"	"Ferrol"	-8.24483877	43.47829813	3
"FERRYBRIDGE"	"FERRYBRIDGE"	-1.266666667	53.7	3
"FETHARD/SLADE"	"FETHARD/SLADE"	-6.826485555	52.19179513	3
"Figeholm"	"Figeholm"	16.553333	57.37	3
"Figueras"	"Figueras"	-7.02282015	43.53944411	3
"FILEY"	"FILEY"	-0.289166667	54.21	3
"FILICUDI"	"FILICUDI"	14.566667	38.566667	3
"FINALE LIGURE"	"FINALE LIGURE"	8.333333	44.166667	3
"Findochty"	"Findochty"	-2.9	54.68333333	3
"FINISTERRE"	"FINISTERRE"	-9.25953101	42.90764885	3
"FINTERWOLDE"	"FINTERWOLDE"	7.08	53.2	3
"Fionnphort"	"Fionnphort"	-6.365277778	56.32388889	3
"Fish Market Cold Store"	"Fish Market Cold Store"	14.51666667	35.89694444	3
"Fisherrow"	"Fisherrow"	-3.066666667	55.93333333	3
"Fishguard"	"Fishguard"	-4.9833331	52	3
"FISHGUARD"	"FISHGUARD"	-4.973611111	51.99277778	3
"FISKARDO"	"FISKARDO"	20.541	38.382	3
"Fiskeback"	"Fiskeback"	11.850333	57.644667	3
"Fiskebackskil"	"Fiskebackskil"	11.463333	58.245	3
"FISKERIHAVNEN/KØBENHAVN"	"FISKERIHAVNEN/KØBENHAVN"	12.604	55.7226	3
"Fisketangen"	"Fisketangen"	11.268333	58.356167	3
"FISKOPHUSE"	"FISKOPHUSE"	10.3257	55.0208	3
"FIUMICINO"	"FIUMICINO"	12.233333	41.766667	3
"FJÆLLEBROEN"	"FJÆLLEBROEN"	10.3812	55.0599	3
"Fjallbacka"	"Fjallbacka"	11.281667	58.598333	3
"FJAND"	"FJAND"	8.126	56.3223	3
"Fjardlang"	"Fjardlang"	18.516667	59.036667	3
"FJELLERUP STRAND"	"FJELLERUP STRAND"	10.5885	56.5124	3
"FLADE SØ"	"FLADE SØ"	8.7945	56.8891	3
"Flamborough"	"Flamborough"	-0.116666697	54.11666489	3
"FLAMBOROUGH"	"FLAMBOROUGH"	-0.116666667	54.11666667	3
"Flatholmen"	"Flatholmen"	16.666667	57.616667	3
"Flaton"	"Flaton"	11.51	58.224167	3
"Flatvarp"	"Flatvarp"	16.81	57.988333	3
"FLEET"	"FLEET"	0	52.78333333	3
"Fleetwood"	"Fleetwood"	-3	53.933334	3
"FLEETWOOD"	"FLEETWOOD"	-3	53.91666667	3
"FLENSBURG"	"FLENSBURG"	9.418	54.80016667	3
"FLOOKBURGH"	"FLOOKBURGH"	-2.966666667	54.16666667	3
"Flunting"	"Flunting"	18.392833	57.098167	3
"FLUSHING"	"FLUSHING"	-5.066666667	50.15	3
"FLYNDERSØ"	"FLYNDERSØ"	11.4545	55.5825	3
"Foindlemore - Loch Glendhu"	"Foindlemore - Loch Glendhu"	-4.985	58.25666667	3
"FOLEGANDROS"	"FOLEGANDROS"	24.875	36.655	3
"Folkestone"	"Folkestone"	1.216666698	51.08333206	3
"FOLKESTONE"	"FOLKESTONE"	1.15	51.08333333	3
"FOLLONICA"	"FOLLONICA"	10.75	42.916667	3
"FØNSSKOV"	"FØNSSKOV"	9.7183	55.4677	3
"FØRBY SØ"	"FØRBY SØ"	8.2599	56.5593	3
"FORIO D ISCHIA"	"FORIO D ISCHIA"	13.85	40.733333	3
"FORMENTERA"	"FORMENTERA"	1.4204991	38.73357747	3
"FORMIA"	"FORMIA"	13.616667	41.25	3
"FORNELLS"	"FORNELLS"	4.13148832	40.05578778	3
"Fort William"	"Fort William"	-5.083333333	56.81666667	3
"FORTE DEI MARMI"	"FORTE DEI MARMI"	10.166667	43.95	3
"Fortuna"	"Fortuna"	12.758	55.958333	3
"Fosdyke"	"Fosdyke"	0.016666699	52.86666489	3
"FOSDYKE"	"FOSDYKE"	0	52.86666667	3
"Foto"	"Foto"	11.656667	57.666667	3
"Fouras"	"Fouras"	-1.1	45.983333	3
"FOYNES"	"FOYNES"	-9.104291995	52.615758	3
"FOYRNOI"	"FOYRNOI"	26.491	37.609	3
"FOZ"	"FOZ"	-7.25488711	43.56685061	3
"FRANCAVILLA A MARE"	"FRANCAVILLA A MARE"	14.283333	42.416667	3
"Fraserburgh"	"Fraserburgh"	-2	57.69777778	3
"FREDERICIA"	"FREDERICIA"	9.7591	55.5664	3
"FREDERIKSHAVN"	"FREDERIKSHAVN"	10.5363	57.4397	3
"FREDERIKSSUND"	"FREDERIKSSUND"	12.0662	55.8371	3
"FREDERIKSVÆRK"	"FREDERIKSVÆRK"	12.0195	55.979	3
"FREEST"	"FREEST"	13.76666667	54.11666667	3
"FREGENE"	"FREGENE"	12.2	41.85	3
"FREJLEV"	"FREJLEV"	11.7638	54.7023	3
"FRIEDRICHSKOOG"	"FRIEDRICHSKOOG"	8.884	53.9835	3
"FRIEDRICHSORT"	"FRIEDRICHSORT"	10.16683333	54.36816667	3
"FRIHAVNEN"	"FRIHAVNEN"	12.3599	55.4234	3
"Frillesas"	"Frillesas"	12.155333	57.324667	3
"Frombork"	"Frombork"	19.66733333	54.3505	3
"Fromentine (La Barre-de-Monts)"	"Fromentine (La Barre-de-Monts)"	-2.133333	46.883333	3
"Frontignan"	"Frontignan"	3.75	43.45	3
"FRY"	"FRY"	26.903	35.422	3
"Fuengirola"	"Fuengirola"	-4.61664582	36.54102294	3
"FUENTERRABIA"	"FUENTERRABIA"	-1.79105038	43.38836031	3
"FUR"	"FUR"	9.0239	56.8163	3
"FURESØ"	"FURESØ"	12.3755	55.815	3
"Furnace"	"Furnace"	-5.173055556	56.15	3
"Furusund"	"Furusund"	18.92	59.66	3
"FYNSHAV"	"FYNSHAV"	9.9789	54.9861	3
"Fyrudden"	"Fyrudden"	16.853333	58.191667	3
"GÅBENSE"	"GÅBENSE"	11.8644	54.9414	3
"GABET"	"GABET"	10.3423	55.3099	3
"GABICCE MARE"	"GABICCE MARE"	12.766667	43.966667	3
"GAETA"	"GAETA"	13.583333	41.2	3
"GAGER"	"GAGER"	13.61666667	54.63333333	3
"GAIOS"	"GAIOS"	20.189	39.206	3
"Gairloch"	"Gairloch"	-5.684722222	57.71111111	3
"GALAXEIDI"	"GALAXEIDI"	22.388	38.357	3
"GALLIPOLI"	"GALLIPOLI"	17.976389	40.055556	3
"Galtaback"	"Galtaback"	12.333333	57.016667	3
"Galway"	"Galway"	-9.116666794	53.17499924	3
"GALWAY"	"GALWAY"	-9.028081432	53.26923729	3
"GAMMEL ÅLBO"	"GAMMEL ÅLBO"	9.4081	55.2809	3
"Gammellandet"	"Gammellandet"	17.951667	62.76	3
"Gandia"	"Gandia"	-0.15836972	38.99463185	3
"Garachico"	"Garachico"	-16.77600037	28.38399923	3
"Gardby"	"Gardby"	16.653667	56.600333	3
"Gardenstown"	"Gardenstown"	-2.333333333	57.66666667	3
"Gardskar"	"Gardskar"	17.612	60.626333	3
"Gareloch"	"Gareloch"	-4.8175	56.10138889	3
"Garlieston"	"Garlieston"	-4.366666667	54.76666667	3
"Garnanas"	"Garnanas"	15.087167	56.157667	3
"GARNISH/TRAVARA"	"GARNISH/TRAVARA"	-9.998333496	51.67601303	3
"Garrabost"	"Garrabost"	-6.246944444	58.21777778	3
"Garrucha"	"Garrucha"	-1.81800984	37.18361223	3
"Gaski"	"Gaski"	15.88416667	54.234	3
"Gaso"	"Gaso"	11.409167	58.233833	3
"Gavle, Engesberg"	"Gavle, Engesberg"	17.288667	60.727333	3
"Gâvres"	"Gâvres"	-3.35	47.683333	3
"GAYRIO"	"GAYRIO"	24.735	37.884	3
"Gdansk"	"Gdansk"	18.55	54.51733333	3
"Gdynia"	"Gdynia"	18.78383333	54.3345	3
"GEDSER"	"GEDSER"	11.9289	54.5764	3
"GELA"	"GELA"	14.25	37.066667	3
"GENEMUIDEN"	"GENEMUIDEN"	6.04	52.62	3
"Genêts"	"Genêts"	-1.4833	48.6833	3
"GENNER STRAND"	"GENNER STRAND"	9.465	55.1268	3
"GENOVA"	"GENOVA"	12.7	37.95	3
"Gerlesborg"	"Gerlesborg"	11.340833	58.487833	3
"GERLEV"	"GERLEV"	12.0132	55.8216	3
"GERSHØJ"	"GERSHØJ"	11.9716	55.7152	3
"GERSØ HUSE"	"GERSØ HUSE"	10.2716	55.287	3
"Geta"	"Geta"	16.2955	58.666333	3
"Getskar"	"Getskar"	11.8005	58.015333	3
"Getteron"	"Getteron"	12.233333	57.113333	3
"GEVERSDORF"	"GEVERSDORF"	9.1	53.8	3
"GEWRGIOYPOLI"	"GEWRGIOYPOLI"	24.276	35.356	3
"GIARDINI"	"GIARDINI"	16.85	39.1	3
"Giens / Porquerolles (Hyères)"	"Giens / Porquerolles (Hyères)"	6.116667	43.116667	3
"Gigha"	"Gigha"	-5.747777778	55.65333333	3
"GIGLIO"	"GIGLIO"	10.9	42.366667	3
"Gijon"	"Gijon"	-5.68048862	43.54528816	3
"GILLELEJE"	"GILLELEJE"	12.3087	56.1234	3
"Gillinge"	"Gillinge"	18.651667	59.112833	3
"GIOIA TAURO"	"GIOIA TAURO"	15.9	38.416667	3
"GIOVINAZZO"	"GIOVINAZZO"	16.666667	41.183333	3
"Girvan"	"Girvan"	-4.855555556	55.24388889	3
"Gislovs Lage"	"Gislovs Lage"	13.231667	55.355	3
"GIULIANOVA"	"GIULIANOVA"	13.95	42.75	3
"GJØL"	"GJØL"	9.7108	57.0672	3
"GLÆNØ"	"GLÆNØ"	11.4381	55.1947	3
"Glasgow"	"Glasgow"	-4.233333333	55.85	3
"Glasson Dock"	"Glasson Dock"	-2.849999905	53.98333359	3
"GLASSON DOCK"	"GLASSON DOCK"	-2.85	53.98333333	3
"Glenarm"	"Glenarm"	-5.949999809	54.96666718	3
"GLENARM"	"GLENARM"	-5.95	54.8	3
"GLENBEIGH"	"GLENBEIGH"	-9.959938152	52.06157007	3
"GLENGAD"	"GLENGAD"	-7.176379337	55.32261157	3
"GLENGARRIFF"	"GLENGARRIFF"	-9.540418058	51.75428091	3
"GLENSTRUP SØ"	"GLENSTRUP SØ"	9.4883	56.354	3
"Glenuig"	"Glenuig"	-5.816666667	56.83333333	3
"Glommen"	"Glommen"	12.35	56.933333	3
"Gloucester"	"Gloucester"	-2.233333349	51.81666565	3
"GLOUCESTER"	"GLOUCESTER"	-2.25	51.83333333	3
"GLOWE"	"GLOWE"	13.5015	54.56716667	3
"GLUECKSBURG"	"GLUECKSBURG"	9.517666667	54.834	3
"GLUECKSTADT"	"GLUECKSTADT"	9.416666667	53.78333333	3
"GLWSSA"	"GLWSSA"	23.615	39.165	3
"GLYFA"	"GLYFA"	22.969	38.951	3
"GLYNGØRE"	"GLYNGØRE"	8.8715	56.757	3
"Gnisvard"	"Gnisvard"	18.116667	57.5	3
"Go"	"Go"	15.318333	56.128333	3
"GOEDEREEDE"	"GOEDEREEDE"	4.01	51.82	3
"GOEDEREEDE-OUDDORP"	"GOEDEREEDE-OUDDORP"	4.01	51.82	3
"GOEDEREEDE-STELLENDAM"	"GOEDEREEDE-STELLENDAM"	4.03	51.81	3
"GOEHREN"	"GOEHREN"	12.684	53.50083333	3
"GOLEEN/CROOKHAVEN"	"GOLEEN/CROOKHAVEN"	-9.726883902	51.46894013	3
"Golfe Juan (Vallauris)"	"Golfe Juan (Vallauris)"	7.05	43.583333	3
"GOLFO ARANCI"	"GOLFO ARANCI"	9.616667	41	3
"Golspie"	"Golspie"	-3.933333333	57.96666667	3
"Goole"	"Goole"	-0.86666667	53.683334	3
"GOOLE"	"GOOLE"	-0.866666667	53.71666667	3
"GORGONA"	"GORGONA"	9.9	43.433333	3
"Gorki Wschodnie"	"Gorki Wschodnie"	18.8	54.35	3
"Górki Wschodnie"	"Górki Wschodnie"	18.78383333	54.3345	3
"Gorki Zachodnie"	"Gorki Zachodnie"	18.75	54.35	3
"Górki Zachodnie"	"Górki Zachodnie"	18.75133333	54.35016667	3
"GORO"	"GORO"	12.304167	44.852222	3
"Gorran Haven"	"Gorran Haven"	-4.785941124	50.24078369	3
"GORRAN HAVEN"	"GORRAN HAVEN"	-4.8	50.23333333	3
"Goteborg"	"Goteborg"	11.923333	57.6985	3
"Gottskar"	"Gottskar"	12.021667	57.388333	3
"Gourdon"	"Gourdon"	-2.283333333	56.81666667	3
"Gourock"	"Gourock"	-4.8	55.95	3
"Goury (Auderville)"	"Goury (Auderville)"	-1.93104	49.71358	3
"Gouville-sur-Mer"	"Gouville-sur-Mer"	-1.583333	49.1	3
"GRAAL-MUERITZ"	"GRAAL-MUERITZ"	9.033333333	53.8	3
"Graddo"	"Graddo"	19.033333	59.766667	3
"GRADO"	"GRADO"	13.386944	45.678611	3
"GRAN TARAJAL"	"GRAN TARAJAL"	-14.02368604	28.20850778	3
"Grand-Fort-Philippe"	"Grand-Fort-Philippe"	2.108333	51	3
"Grand Piquey (Lège-Cap-Ferret)"	"Grand Piquey (Lège-Cap-Ferret)"	-1.133333333	44.78333333	3
"Grandcamp (Grandcamp-Maisy)"	"Grandcamp (Grandcamp-Maisy)"	-1.05	49.383333	3
"Grangemouth"	"Grangemouth"	-3.666666667	56	3
"Grankullavik"	"Grankullavik"	17.097833	57.3335	3
"Granso"	"Granso"	16.916667	58.517333	3
"Granton"	"Granton"	-3.2	55.98333333	3
"Granville"	"Granville"	-1.6	48.833333	3
"Grasgard"	"Grasgard"	16.533	56.316667	3
"Grasmaro"	"Grasmaro"	16.976667	58.275833	3
"Graso"	"Graso"	18.460833	60.346333	3
"GRÅSTEN"	"GRÅSTEN"	9.5919	54.9212	3
"GRAVESEND"	"GRAVESEND"	0.366666667	51.43333333	3
"Gravette (La Plaine-sur-Mer)"	"Gravette (La Plaine-sur-Mer)"	-2.166667	47.133333	3
"Great Wakering"	"Great Wakering"	0.79611111	51.576668	3
"GREAT WAKERING"	"GREAT WAKERING"	0.8	51.55	3
"Great Yarmouth"	"Great Yarmouth"	1.7333333	52.566666	3
"GREAT YARMOUTH"	"GREAT YARMOUTH"	1.75	52.63333333	3
"Grebbestad"	"Grebbestad"	11.256667	58.683333	3
"Greencastle"	"Greencastle"	-6.9844446	55.202778	3
"GREENCASTLE"	"GREENCASTLE"	-6.986461181	55.20421773	3
"Greenfield"	"Greenfield"	-3.201910019	53.29389954	3
"GREENFIELD"	"GREENFIELD"	-3.216666667	53.28333333	3
"Greenock"	"Greenock"	-4.745277778	55.945	3
"GREENORE"	"GREENORE"	-6.143294742	54.01657451	3
"GREETSIEL"	"GREETSIEL"	7.1	53.5	3
"GREIFSWALD"	"GREIFSWALD"	13.38333333	54.08333333	3
"GRENÅ"	"GRENÅ"	10.9266	56.416	3
"GREVE STRAND"	"GREVE STRAND"	12.3022	55.5791	3
"GREYSTONES"	"GREYSTONES"	-6.048775055	53.14353935	3
"Grimsay"	"Grimsay"	-7.204722222	57.48138889	3
"Grimsby"	"Grimsby"	-0.0666667	53.583332	3
"GRIMSBY"	"GRIMSBY"	0	53.53333333	3
"Grisslan"	"Grisslan"	18.891667	63.18	3
"Grisslehamn"	"Grisslehamn"	18.805	60.103333	3
"GRISTOW"	"GRISTOW"	13.33333333	54.16666667	3
"GRITSA"	"GRITSA"	22.547	40.154	3
"GROEMITZ"	"GROEMITZ"	10.95	54.13333333	3
"Groix"	"Groix"	-3.466667	47.633333	3
"Gronemad"	"Gronemad"	11.22	58.697	3
"Gronhogen"	"Gronhogen"	16.401667	56.266667	3
"Grono"	"Grono"	17.7325	60.516667	3
"GRØNSUND"	"GRØNSUND"	12.1193	54.8855	3
"Groomsport"	"Groomsport"	-5.599999905	54.66666794	3
"GROOMSPORT"	"GROOMSPORT"	-5.616666667	54.66666667	3
"Gropahalet"	"Gropahalet"	14.315167	55.858667	3
"GROSS-ZICKER"	"GROSS-ZICKER"	13.68416667	54.28433333	3
"GROSSENBRODE"	"GROSSENBRODE"	11.117	54.468	3
"Groto"	"Groto"	11.683833	57.695	3
"Gruinard - Aultbea"	"Gruinard - Aultbea"	-5.566666667	57.83333333	3
"Gruissan"	"Gruissan"	3.083333	43.1	3
"Grundemar"	"Grundemar"	16.687167	57.876667	3
"Grundsund"	"Grundsund"	11.418333	58.216667	3
"Gryt"	"Gryt"	16.851667	58.192	3
"GUARDAMAR DEL SEGURA"	"GUARDAMAR DEL SEGURA"	-0.64366795	38.11134223	3
"GUDHJEM"	"GUDHJEM"	14.9731	55.2067	3
"Gudinge"	"Gudinge"	18.011667	60.508333	3
"GUDSØ"	"GUDSØ"	9.5779	55.5305	3
"Guernsey"	"Guernsey"	-2.5	49.46666718	3
"GUERNSEY"	"GUERNSEY"	-2.5	49.466667	3
"GUETARIA"	"GUETARIA"	-2.19873451	43.30841092	3
"Guéthary / Bidart / Biarritz"	"Guéthary / Bidart / Biarritz"	-1.583333	43.433333	3
"GUIA ISORA"	"GUIA ISORA"	-16.8154186	28.17970896	3
"Guilvinec"	"Guilvinec"	-4.2847223	47.792778	3
"Gujan-Mestras"	"Gujan-Mestras"	-1.066667	44.633333	3
"GULDBORG"	"GULDBORG"	11.7406	54.8682	3
"Gullholmen"	"Gullholmen"	11.4	58.183333	3
"Gullnasholmen"	"Gullnasholmen"	11.1735	58.894667	3
"Gumboda Hamn"	"Gumboda Hamn"	21.083333	64.218333	3
"GUNDSØMAGLE SØ"	"GUNDSØMAGLE SØ"	12.1497	55.7369	3
"Guo"	"Guo"	15.200333	56.186333	3
"GURRE SØ"	"GURRE SØ"	12.5223	56.0212	3
"Gustavsberg"	"Gustavsberg"	18.385	59.325	3
"GYLDENDAL"	"GYLDENDAL"	8.7121	56.5805	3
"GYLES/RATHCOR"	"GYLES/RATHCOR"	-6.19253468	53.98065916	3
"Gyon"	"Gyon"	15.069667	56.158	3
"GYRSTINGE SØ"	"GYRSTINGE SØ"	11.412	55.3076	3
"GYTHEIO"	"GYTHEIO"	22.573	36.766	3
"Haapsalu"	"Haapsalu"	23.51666667	58.95133333	3
"HADERSLEV"	"HADERSLEV"	9.488	55.2505	3
"HADSUND"	"HADSUND"	10.1159	56.7151	3
"Hagby"	"Hagby"	16.227167	56.582667	3
"Haggvik"	"Haggvik"	18.298333	62.908333	3
"HALASTRA"	"HALASTRA"	22.835	40.581	3
"Haljarod"	"Haljarod"	12.735833	56.23	3
"HALK"	"HALK"	9.6383	55.203	3
"HALKIDA (Auction Hall)"	"HALKIDA (Auction Hall)"	23.625	38.478	3
"Hallevik"	"Hallevik"	14.703333	56.011667	3
"Hallevikstrand"	"Hallevikstrand"	11.445	58.123333	3
"Hallshuk"	"Hallshuk"	18.745833	57.924667	3
"Hallstavik"	"Hallstavik"	18.589167	60.061167	3
"Halmstad"	"Halmstad"	12.866667	56.666667	3
"HALS"	"HALS"	10.3087	56.9948	3
"Halsback"	"Halsback"	11.532	58.0545	3
"Halso"	"Halso"	11.66	57.731667	3
"Hamble"	"Hamble"	-1.283333302	50.84999847	3
"HAMBLE"	"HAMBLE"	-1.316666667	50.85	3
"HAMBURG"	"HAMBURG"	9.667833333	53.56716667	3
"Hamburgon"	"Hamburgon"	11.266667	58.552167	3
"Hamburgsund"	"Hamburgsund"	11.27	58.551667	3
"HAMMERHAVN"	"HAMMERHAVN"	14.7574	55.278	3
"Hamno"	"Hamno"	16.6745	57.568333	3
"Handelop"	"Handelop"	16.75	57.675	3
"HANDERMELLE"	"HANDERMELLE"	11.5709	54.6585	3
"Hanhals"	"Hanhals"	12.0715	57.448667	3
"HANIA"	"HANIA"	24.026	35.517	3
"Hanko"	"Hanko"	22.95016667	59.82333333	3
"Hano"	"Hano"	14.838333	56.01	3
"HANSTHOLM"	"HANSTHOLM"	8.6066	57.116	3
"Hantsholm"	"Hantsholm"	8.60055542	57.11166763	3
"Haparanda"	"Haparanda"	23.906667	65.771667	3
"HÅRBØLLEBRO"	"HÅRBØLLEBRO"	12.1454	54.8836	3
"HARBOØRE"	"HARBOØRE"	8.1777	56.6189	3
"HARDERWIJK"	"HARDERWIJK"	5.62	52.35	3
"HARDESHØJ"	"HARDESHØJ"	9.6943	55.0092	3
"Harestad"	"Harestad"	11.84	57.817333	3
"Hargshamn"	"Hargshamn"	18.461667	60.173333	3
"HARLESIEL"	"HARLESIEL"	7.800833333	53.70066667	3
"Harlingen"	"Harlingen"	5.416666508	53.18333435	3
"HARLINGEN"	"HARLINGEN"	10.98	53.15	3
"Haro"	"Haro"	18.8965	59.338667	3
"Haron"	"Haron"	11.4975	58.022167	3
"Harstena"	"Harstena"	17.005	58.253	3
"Harte"	"Harte"	17.395	61.991667	3
"Hartlepool"	"Hartlepool"	-1.1833333	54.683334	3
"HARTLEPOOL"	"HARTLEPOOL"	-1.216666667	54.68333333	3
"Hartso"	"Hartso"	17.476667	58.715	3
"Harwich"	"Harwich"	1.3	51.933334	3
"HARWICH"	"HARWICH"	1.3	51.95	3
"HASELDORF"	"HASELDORF"	9.567166667	53.618	3
"Hasko"	"Hasko"	16.921667	58.258333	3
"HASLE"	"HASLE"	14.7066	55.1831	3
"Hasselo"	"Hasselo"	16.741667	57.833333	3
"HASSELØ"	"HASSELØ"	11.887	54.7242	3
"Hasselosund"	"Hasselosund"	11.243333	58.366667	3
"Hasslo"	"Hasslo"	15.473333	56.101667	3
"Hasslo, Garpahamnen"	"Hasslo, Garpahamnen"	15.48	56.101667	3
"Hasslo, Hallahamnen"	"Hasslo, Hallahamnen"	15.453333	56.118333	3
"Hastholmen"	"Hastholmen"	15.761667	56.086667	3
"Hastings"	"Hastings"	0.600000024	50.84999847	3
"HASTINGS"	"HASTINGS"	0.6	50.85	3
"Hastskar"	"Hastskar"	17.73	60.5355	3
"HAURVIG"	"HAURVIG"	8.1007	55.5638	3
"Hauteville-sur-Mer"	"Hauteville-sur-Mer"	-1.5333	48.9833	3
"Havdhem"	"Havdhem"	18.3335	57.1615	3
"HAVNEBY"	"HAVNEBY"	8.5545	55.0873	3
"HAVNSØ"	"HAVNSØ"	11.3366	55.7501	3
"Havstenssund"	"Havstenssund"	11.18	58.755	3
"Hayle"	"Hayle"	-5.416666508	50.18333435	3
"HAYLE"	"HAYLE"	-5.415833333	50.18222222	3
"HAYLING ISLAND"	"HAYLING ISLAND"	-0.983333333	50.83333333	3
"HEE"	"HEE"	8.2826	56.1443	3
"Heestrand"	"Heestrand"	11.279	58.512167	3
"HEIKENDORF"	"HEIKENDORF"	10.18466667	54.3675	3
"HEILIGENHAFEN"	"HEILIGENHAFEN"	10.98333333	54.36733333	3
"HEJLSMINDE"	"HEJLSMINDE"	9.5999	55.3708	3
"Hel"	"Hel"	18.78466667	54.6005	3
"Helensburgh"	"Helensburgh"	-4.683333333	55.98333333	3
"Helford River"	"Helford River"	-5.133333206	50.08333206	3
"HELLIGPEDER"	"HELLIGPEDER"	14.709	55.2109	3
"HELMKLIT"	"HELMKLIT"	8.1479	56.3306	3
"Helmsdale"	"Helmsdale"	-3.650833333	58.11638889	3
"HELNÆS"	"HELNÆS"	10.0365	55.1327	3
"Helsingborg"	"Helsingborg"	12.718333	56.046667	3
"HELSINGØR"	"HELSINGØR"	12.6133	56.0335	3
"Helsinki"	"Helsinki"	24.98616667	60.18383333	3
"Heltermaa"	"Heltermaa"	23.03483333	58.86666667	3
"HELVICK"	"HELVICK"	-7.542225494	52.05202944	3
"HEMELUMER-OLDEFERD"	"HEMELUMER-OLDEFERD"	5.44	52.93	3
"HEMMET"	"HEMMET"	8.3721	55.8504	3
"Hemso"	"Hemso"	18.066667	62.716667	3
"Henan"	"Henan"	11.68	58.241667	3
"Hendaye"	"Hendaye"	-1.775	43.358333	3
"HENNE STRAND"	"HENNE STRAND"	8.1831	55.7382	3
"HENNSTEDT"	"HENNSTEDT"	9.134	54.33383333	3
"HERINGSDORF"	"HERINGSDORF"	14.16666667	53.96	3
"HERNE BAY"	"HERNE BAY"	1.133333333	51.36666667	3
"Herrang"	"Herrang"	18.648333	60.138333	3
"Herrvik"	"Herrvik"	18.918333	57.423333	3
"HERSONISOS"	"HERSONISOS"	25.387	36.323	3
"HESNÆS"	"HESNÆS"	12.1347	54.8234	3
"HEST BANK"	"HEST BANK"	-2.8	54.08333333	3
"HETLINGEN"	"HETLINGEN"	9.6	53.60033333	3
"Himanka"	"Himanka"	23.5865	64.088	3
"HINDELOOPEN"	"HINDELOOPEN"	5.4	52.94	3
"Hinderson"	"Hinderson"	22.601667	65.586	3
"HINDSGAVL"	"HINDSGAVL"	9.4259	55.3072	3
"HIRTSHALS"	"HIRTSHALS"	9.96	57.5885	3
"HJARBÆK"	"HJARBÆK"	9.322	56.5313	3
"Hjuvik"	"Hjuvik"	11.7145	57.712167	3
"HO"	"HO"	8.2291	55.5523	3
"HOBRO"	"HOBRO"	9.7947	56.6383	3
"HOCHDONN"	"HOCHDONN"	9.284666667	54.01666667	3
"Hoedic"	"Hoedic"	-2.883333	47.333333	3
"HOERNUM-SYLT"	"HOERNUM-SYLT"	8.284666667	54.75083333	3
"Hoganas (Hoganas)"	"Hoganas (Hoganas)"	12.55	56.198333	3
"HOHWACHT"	"HOHWACHT"	10.6835	54.31666667	3
"HØJER"	"HØJER"	8.695	54.9654	3
"HOLBÆK"	"HOLBÆK"	11.7101	55.7179	3
"Holick"	"Holick"	17.44	61.626667	3
"HØLKERUP"	"HØLKERUP"	11.7004	55.8334	3
"Hollviken"	"Hollviken"	12.933333	55.413333	3
"Hollviksnas"	"Hollviksnas"	12.933333	55.413333	3
"Holm"	"Holm"	-2.9	58.9	3
"Holma"	"Holma"	11.563167	58.380833	3
"Holmon"	"Holmon"	20.866667	63.805167	3
"HOLY ISLAND"	"HOLY ISLAND"	-1.8	55.66666667	3
"Holyhead"	"Holyhead"	-4.6166668	53.316666	3
"HOLYHEAD"	"HOLYHEAD"	-4.633333333	53.3	3
"Honfleur"	"Honfleur"	0.233333	49.416667	3
"Hono"	"Hono"	11.648667	57.683333	3
