"harbour"	"lon"	"lat"	"range"
"Ajaccio"	"Ajaccio"	8.733333	41.916667	3
"Ajos"	"Ajos"	24.50883333	65.672	3
"Akhotopol"	"Akhotopol"	27.9425	42.10033333	3
"Alabodarna"	"Alabodarna"	12.775	55.94	3
"ALASSIO"	"ALASSIO"	8.166667	44	3
"Alback"	"Alback"	16.9925	58.627	3
"ÅLBÆK"	"ÅLBÆK"	10.4126	57.593	3
"ÅLBORG"	"ÅLBORG"	9.9163	57.0493	3
"ALBUEN"	"ALBUEN"	10.9568	54.8237	3
"ALCALÁ"	"ALCALÁ"	-16.82925573	28.20075219	3
"Alcudia"	"Alcudia"	3.13841207	39.84052421	3
"ALDAN-HIO"	"ALDAN-HIO"	-8.82036818	42.28409346	3
"ALDEBURGH"	"ALDEBURGH"	1.6	52.15	3
"Aldeburgh and Orford"	"Aldeburgh and Orford"	1.533333302	52.06666565	3
"Alderney"	"Alderney"	-2.183333397	49.71666718	3
"ALDERNEY"	"ALDERNEY"	-2.1833334	49.716667	3
"ALEXANDROYPOLI (Auction Hall)"	"ALEXANDROYPOLI (Auction Hall)"	25.86	40.833	3
"Algeciras"	"Algeciras"	-5.44313408	36.13531787	3
"ALGHERO"	"ALGHERO"	8.318056	40.558889	3
"ALGORTA"	"ALGORTA"	-3.0189992	43.33799904	3
"Alicante"	"Alicante"	-0.50170645	38.33211225	3
"ALLESHAVE"	"ALLESHAVE"	11.1509	55.4343	3
"ALLINGE"	"ALLINGE"	14.7999	55.2744	3
"Alloa"	"Alloa"	-3.816666667	56.1	3
"Almeria"	"Almeria"	-2.48161909	36.83704382	3
"Almosund"	"Almosund"	11.704167	58.063	3
"Alo"	"Alo"	18.341667	58.9225	3
"ALRØ"	"ALRØ"	10.0774	55.8571	3
"ALS"	"ALS"	10.0421	54.4263	3
"ALS ODDE"	"ALS ODDE"	10.4954	56.423	3
"ÅLSGÅRDE"	"ÅLSGÅRDE"	12.5407	56.075	3
"Altea"	"Altea"	-0.05199406	38.5902446	3
"ALTWARP"	"ALTWARP"	14.26666667	53.75	3
"ALYKES"	"ALYKES"	20.776	37.841	3
"ALYPA (PALAIOKASTRITSAS)"	"ALYPA (PALAIOKASTRITSAS)"	19.43	39.4	3
"AMALFI"	"AMALFI"	14.6	40.633333	3
"AMANTEA"	"AMANTEA"	16.066667	39.133333	3
"Amble"	"Amble"	-1.5786111	55.337223	3
"AMBLE"	"AMBLE"	-1.583333333	55.33333333	3
"Ametlla De Mar"	"Ametlla De Mar"	0.80264806	40.88327487	3
"AMFILOHIA"	"AMFILOHIA"	21.15609	38.89227	3
"Amlwch"	"Amlwch"	-4.3333335	53.416668	3
"AMLWCH"	"AMLWCH"	-4.35	53.41666667	3
"AMMOYDIA"	"AMMOYDIA"	20.478	39.264	3
"AMMOYLIANI"	"AMMOYLIANI"	23.911	40.32	3
"Ampolla"	"Ampolla"	0.71183713	40.81021494	3
"AMRUM"	"AMRUM"	8.333333333	54.65	3
"AMSTERDAM-RANDSDORP"	"AMSTERDAM-RANDSDORP"	4.91	52.45	3
"AMTOFT"	"AMTOFT"	8.9418	57.0074	3
"ANCONA"	"ANCONA"	13.5	43.633333	3
